0.127660	0.276596	0
0.340426	0.361702	1
0.851064	1.148936	2
1.255319	1.404255	3
1.595745	1.659574	4
1.680851	1.765957	5
1.829787	2.127660	6
2.212766	2.361702	7
2.659574	3.000000	8
3.297872	3.382979	9
3.404255	3.680851	10
3.787234	3.978723	11
4.000000	4.085106	12
4.234043	4.382979	13
4.446809	4.531915	14
4.574468	4.702128	15
4.829787	4.914894	16
5.127660	5.148936	17
6.042553	6.382979	18
6.510638	6.617021	19
6.680851	6.765957	20
7.361702	7.425532	21
7.468085	7.680851	22
7.744681	7.957447	23
8.148936	8.234043	24
8.404255	8.595745	25
8.702128	8.744681	26
8.851064	8.914894	27
8.957447	9.063830	28
9.127660	9.170213	29
9.255319	9.446809	30
9.638298	9.702128	31
10.702128	11.021277	32
11.255319	11.340426	33
11.382979	11.510638	34
11.702128	11.787234	35
11.829787	11.936170	36
12.106383	12.319149	37
12.468085	12.510638	38
12.723404	12.744681	39
12.829787	12.872340	40
13.255319	13.297872	41
13.425532	13.489362	42
13.510638	13.659574	43
13.914894	13.936170	44
14.446809	14.531915	45
14.957447	15.148936	46
16.021277	16.127660	47
16.255319	16.297872	48
16.361702	16.531915	49
16.595745	16.744681	50
16.872340	16.936170	51
17.106383	17.127660	52
17.468085	17.531915	53
17.680851	17.723404	54
17.957447	18.000000	55
18.063830	18.127660	56
18.340426	18.361702	57
18.851064	18.893617	58
18.978723	19.021277	59
19.148936	19.191489	60
19.617021	19.829787	61
20.106383	20.148936	62
20.340426	20.510638	63
22.574468	22.638298	64
22.851064	23.085106	65
23.148936	23.276596	66
23.340426	23.425532	67
23.531915	23.617021	68
23.744681	23.808511	69
23.893617	23.978723	70
24.085106	24.234043	71
24.340426	24.446809	72
24.489362	24.595745	73
24.617021	24.702128	74
24.765957	24.808511	75
24.893617	24.914894	76
25.000000	25.148936	77
25.212766	25.978723	78
26.021277	26.106383	79
26.361702	26.510638	80
26.723404	26.893617	81
27.340426	27.361702	82
27.404255	27.680851	83
27.723404	27.787234	84
27.872340	27.978723	85
28.000000	28.085106	86
28.106383	28.170213	87
28.212766	28.382979	88
28.531915	28.595745	89
28.638298	28.787234	90
28.957447	28.978723	91
29.063830	29.148936	92
30.042553	30.148936	93
30.574468	30.659574	94
30.702128	30.723404	95
31.000000	31.042553	96
31.106383	31.191489	97
31.574468	31.617021	98
31.638298	31.659574	99
31.702128	31.765957	100
31.893617	31.936170	101
32.702128	32.723404	102
32.787234	32.872340	103
33.000000	33.063830	104
33.297872	33.319149	105
33.574468	33.617021	106
33.659574	33.702128	107
33.957447	33.978723	108
34.170213	34.276596	109
34.468085	34.531915	110
34.574468	34.659574	111
34.808511	34.957447	112
35.212766	35.255319	113
35.340426	35.404255	114
35.744681	35.808511	115
35.936170	35.978723	116
36.042553	36.191489	117
36.468085	36.489362	118
36.574468	36.617021	119
36.893617	36.914894	120
37.255319	37.297872	121
37.319149	37.404255	122
37.446809	37.531915	123
37.723404	37.765957	124
37.808511	37.872340	125
38.255319	38.340426	126
38.510638	38.659574	127
